client_id,nom,prenom,pays,date_eff
820191,Thériault,Charles,MT,2026-09-20T00:00:00
320845,Proulx,Mathieu,MM,2026-09-20T00:00:00
741100,Houde,Tristan,PY,2026-09-20T00:00:00
161805,Archambault,Gabrielle,DJ,2026-09-20T00:00:00
509248,Lepage,Michèle,UG,2026-09-20T00:00:00
131305,Jean,André,KE,2026-09-20T00:00:00
671916,Laflamme,Jeannine,ZW,2026-09-20T00:00:00
845023,Veilleux,Alex,SY,2026-09-20T00:00:00
728255,Richard,Antoine,BT,2026-09-20T00:00:00
751168,Allard,Valérie,PT,2026-09-20T00:00:00
836411,Hébert,Zacharie,DM,2026-09-20T00:00:00
737828,Dupuis,Patricia,SL,2026-09-20T00:00:00
285005,Boucher,Claudine,NP,2026-09-20T00:00:00
844687,Poulin,Maurice,MV,2026-09-20T00:00:00
146320,Bédard,Renée,CA,2026-09-20T00:00:00
714243,Lepage,Océane,MK,2026-09-20T00:00:00
155631,Chartrand,Laetitia,ER,2026-09-20T00:00:00
667159,Fontaine,Jeannine,MH,2026-09-20T00:00:00
384022,Lamontagne,Marianne,ES,2026-09-20T00:00:00
483154,Villeneuve,Gilles,NP,2026-09-20T00:00:00
151473,Martineau,Marcelle,ER,2026-09-20T00:00:00
237238,Noël,Aurélie,BG,2026-09-20T00:00:00
874198,Richer,Lorraine,HN,2026-09-20T00:00:00
830175,Bertrand,Astrid,IN,2026-09-20T00:00:00
202446,Savard,Marianne,HN,2026-09-20T00:00:00
180758,Boivin,Zacharie,KH,2026-09-20T00:00:00
780636,Charron,Claude,CZ,2026-09-20T00:00:00
218262,Dupuis,Anouk,UZ,2026-09-20T00:00:00
323644,Allard,Mathieu,FI,2026-09-20T00:00:00
602976,Laroche,Marcel,GQ,2026-09-20T00:00:00
971355,Labbé,Emmanuel,SZ,2026-09-20T00:00:00
469544,Trudel,Henri,GH,2026-09-20T00:00:00
421072,Lamoureux,Zacharie,HU,2026-09-20T00:00:00
286829,Lambert,Virginie,RW,2026-09-20T00:00:00
318498,Raymond,Gilbert,NI,2026-09-20T00:00:00
511361,Racine,Virginie,BI,2026-09-20T00:00:00
700982,Patel,Manon,ML,2026-09-20T00:00:00
752370,Fontaine,Frédérique,US,2026-09-20T00:00:00
900878,Houde,Laetitia,SM,2026-09-20T00:00:00
755222,Beaulieu,Arthur,KM,2026-09-20T00:00:00
848834,Hamel,Joséphine,ES,2026-09-20T00:00:00
884975,Giroux,Olivia,NL,2026-09-20T00:00:00
386548,Gendron,Clémence,CV,2026-09-20T00:00:00
344214,Brisson,Anne,VE,2026-09-20T00:00:00
353128,Labrecque,Xavier,SV,2026-09-20T00:00:00
450345,Houde,Jean,PK,2026-09-20T00:00:00
439443,Deschênes,Maude,BS,2026-09-20T00:00:00
423716,Vincent,Geneviève,NR,2026-09-20T00:00:00
487841,Bouchard,Véronique,ZA,2026-09-20T00:00:00
987334,Gaudreault,Gabrielle,CU,2026-09-20T00:00:00
986590,Lapointe,Monique,SE,2026-09-20T00:00:00
144539,Savoie,Rémy,KR,2026-09-20T00:00:00
270398,Martineau,Kevin,SK,2026-09-20T00:00:00
957244,Beauregard,Lorraine,BH,2026-09-20T00:00:00
798452,Duval,Nathan,IT,2026-09-20T00:00:00
653078,Gaudreault,Robert,MW,2026-09-20T00:00:00
906325,Jean,Gilbert,PW,2026-09-20T00:00:00
370419,Carrier,Noël,MV,2026-09-20T00:00:00
869446,Cyr,Chantal,TV,2026-09-20T00:00:00
187043,Nguyen,Marc,SO,2026-09-20T00:00:00
203206,Marcoux,Louis,VC,2026-09-20T00:00:00
468098,Boulanger,Jules,HR,2026-09-20T00:00:00
506940,Forget,Nicole,TV,2026-09-20T00:00:00
304999,Laplante,Véronique,CL,2026-09-20T00:00:00
313882,Cyr,Vincent,PS,2026-09-20T00:00:00
804880,Bergeron,Guillaume,KN,2026-09-20T00:00:00
718497,Proulx,Colette,CF,2026-09-20T00:00:00
668508,Létourneau,Roger,LK,2026-09-20T00:00:00
208115,Benoît,Juliette,BF,2026-09-20T00:00:00
441247,Séguin,Lucas,KW,2026-09-20T00:00:00
738019,Benoît,Lucie,JM,2026-09-20T00:00:00
615628,Vallée,Étienne,US,2026-09-20T00:00:00
503410,Lemieux,Raymond,LB,2026-09-20T00:00:00
581336,Bégin,Amélie,SA,2026-09-20T00:00:00
259584,Brisson,Richard,UZ,2026-09-20T00:00:00
164486,Dumont,Marie,ES,2026-09-20T00:00:00
718194,Mathieu,Kevin,QA,2026-09-20T00:00:00
413023,Desrochers,Nicolas,AG,2026-09-20T00:00:00
662671,Sirois,Cécile,VC,2026-09-20T00:00:00
361851,Bernard,Élise,BY,2026-09-20T00:00:00
887844,Pelletier,Sébastien,VN,2026-09-20T00:00:00
525552,Chouinard,Paul,BZ,2026-09-20T00:00:00
241014,Villeneuve,Josette,GE,2026-09-20T00:00:00
909577,Tessier,David,FR,2026-09-20T00:00:00
