client_id,nom,prenom,pays,date_eff
785829,Simard,Nicolas,GQ,2026-12-03T00:00:00
612874,Charest,William,EC,2026-12-03T00:00:00
753424,Bédard,Rémy,TW,2026-12-03T00:00:00
784978,Pelletier,Alexandre,SK,2026-12-03T00:00:00
619757,Moreau,Simone,VU,2026-12-03T00:00:00
289633,Jean,Karine,SA,2026-12-03T00:00:00
772942,Lemire,Anaïs,MZ,2026-12-03T00:00:00
138178,Therrien,Noémie,SA,2026-12-03T00:00:00
966222,Laplante,Josette,BO,2026-12-03T00:00:00
213829,Séguin,Denise,GM,2026-12-03T00:00:00
905076,Girard,Antoine,PW,2026-12-03T00:00:00
820910,Vaillancourt,Arthur,HU,2026-12-03T00:00:00
924941,Chabot,Émile,IE,2026-12-03T00:00:00
370874,Vincent,Pierre,DJ,2026-12-03T00:00:00
945228,Chartrand,Jean,NL,2026-12-03T00:00:00
142635,Roberge,Alex,US,2026-12-03T00:00:00
266284,Boudreau,Colette,MX,2026-12-03T00:00:00
844816,Pelletier,Zoé,BJ,2026-12-03T00:00:00
898374,Pépin,Robert,RW,2026-12-03T00:00:00
765960,Trudel,Margaret,AG,2026-12-03T00:00:00
892770,Cloutier,Édouard,IL,2026-12-03T00:00:00
242971,Duguay,Christine,ET,2026-12-03T00:00:00
945701,Vézina,Élodie,NP,2026-12-03T00:00:00
812668,Dupont,André,SB,2026-12-03T00:00:00
400402,Archambault,Denis,BD,2026-12-03T00:00:00
442923,Racine,Jeanne,LB,2026-12-03T00:00:00
176191,Gendron,Anne,LK,2026-12-03T00:00:00
159049,Nadeau,Rémy,DM,2026-12-03T00:00:00
999177,Richard,Célina,TR,2026-12-03T00:00:00
609242,St-Pierre,Mathilde,LR,2026-12-03T00:00:00
267696,Dion,Rémy,RO,2026-12-03T00:00:00
351100,Dumas,Anouk,FI,2026-12-03T00:00:00
773644,Lacasse,Susanne,BR,2026-12-03T00:00:00
573308,Gervais,Florence,EE,2026-12-03T00:00:00
712101,Lachapelle,Julien,IR,2026-12-03T00:00:00
946782,Vincent,Nathalie,HR,2026-12-03T00:00:00
110566,Nadeau,Patricia,TT,2026-12-03T00:00:00
846220,Chartrand,Stéphane,TR,2026-12-03T00:00:00
794310,Labbé,Pierre,KR,2026-12-03T00:00:00
805110,Landry,Emmanuel,AD,2026-12-03T00:00:00
972336,Arsenault,Christiane,AT,2026-12-03T00:00:00
408580,Roy,Hélène,KR,2026-12-03T00:00:00
123225,Veilleux,Maurice,SN,2026-12-03T00:00:00
880824,Dupuis,Louis,SM,2026-12-03T00:00:00
345045,Duchesne,Élisabeth,ML,2026-12-03T00:00:00
209319,Lauzon,Jonathan,AG,2026-12-03T00:00:00
145616,Perron,Dorothée,BR,2026-12-03T00:00:00
994850,Trottier,Marc,AG,2026-12-03T00:00:00
989169,Brunet,Chantal,MW,2026-12-03T00:00:00
460130,Noël,Michel,VC,2026-12-03T00:00:00
366538,Gingras,Jules,BH,2026-12-03T00:00:00
226876,Thibodeau,Élodie,RW,2026-12-03T00:00:00
657171,Bergeron,Pierre,JP,2026-12-03T00:00:00
520543,Goulet,Tristan,BR,2026-12-03T00:00:00
540712,Durand,Sophie,BI,2026-12-03T00:00:00
776837,Dubé,Monique,HT,2026-12-03T00:00:00
414567,Roy,Alex,NR,2026-12-03T00:00:00
315880,Guay,Marianne,GA,2026-12-03T00:00:00
372908,Marcoux,Éléonore,KH,2026-12-03T00:00:00
450576,Nadeau,Chantal,KR,2026-12-03T00:00:00
992506,Trottier,Richard,BS,2026-12-03T00:00:00
490388,Lapointe,Frédéric,SI,2026-12-03T00:00:00
401064,Bouchard,Noël,IL,2026-12-03T00:00:00
493370,Lavallée,Alice,JP,2026-12-03T00:00:00
928202,Rodrigue,Marianne,YE,2026-12-03T00:00:00
963338,Perreault,Benjamin,SR,2026-12-03T00:00:00
287291,Mercier,Lucy,GM,2026-12-03T00:00:00
926614,Soucy,Patricia,BT,2026-12-03T00:00:00
909101,Dufresne,Marc,HT,2026-12-03T00:00:00
932326,Robert,Jeanne,KP,2026-12-03T00:00:00
788245,Godin,Charles,CG,2026-12-03T00:00:00
680576,Cormier,Charlotte,CG,2026-12-03T00:00:00
447797,Lamontagne,Maxime,FR,2026-12-03T00:00:00
880789,Fréchette,Alex,KM,2026-12-03T00:00:00
951896,Noël,Jeanne,US,2026-12-03T00:00:00
980547,Fortier,Manon,CV,2026-12-03T00:00:00
649765,Langlois,Raphaël,SL,2026-12-03T00:00:00
738907,Giroux,Anne,BF,2026-12-03T00:00:00
124558,Savoie,Gérard,ID,2026-12-03T00:00:00
967661,Cormier,Julien,CR,2026-12-03T00:00:00
497244,Fournier,Bernard,BJ,2026-12-03T00:00:00
259378,Prévost,Alain,ME,2026-12-03T00:00:00
522394,Lapointe,Louis,AO,2026-12-03T00:00:00
570950,Denis,Chantal,PY,2026-12-03T00:00:00
341944,Lavallée,Michelle,EC,2026-12-03T00:00:00
448022,Lacasse,Samuel,CZ,2026-12-03T00:00:00
673840,Dumas,Marcelle,NO,2026-12-03T00:00:00
525520,Turgeon,Olivia,SM,2026-12-03T00:00:00
999597,Delisle,Christiane,TM,2026-12-03T00:00:00
673019,Marcotte,Charles,VA,2026-12-03T00:00:00
467655,Rodrigue,Christine,MA,2026-12-03T00:00:00
494236,Bernard,Marcelle,CA,2026-12-03T00:00:00
565254,Duguay,Arthur,IN,2026-12-03T00:00:00
462484,Provost,Béatrice,DJ,2026-12-03T00:00:00
501143,Simard,Lucy,PG,2026-12-03T00:00:00
930058,Legault,Aurore,SE,2026-12-03T00:00:00
512777,Daigle,Gabrielle,PS,2026-12-03T00:00:00
581968,Beaudoin,Bertrand,SR,2026-12-03T00:00:00
129008,Marcotte,Alex,PL,2026-12-03T00:00:00
632422,Rioux,Laurie,VA,2026-12-03T00:00:00
794252,Laplante,Chantal,DJ,2026-12-03T00:00:00
253259,Desjardins,Clémence,ID,2026-12-03T00:00:00
687527,Vézina,Élisabeth,TN,2026-12-03T00:00:00
726405,Dupuis,Gilles,NO,2026-12-03T00:00:00
366636,Potvin,Jules,IQ,2026-12-03T00:00:00
927696,Gilbert,Jacques,UZ,2026-12-03T00:00:00
915785,Simard,William,DE,2026-12-03T00:00:00
713143,Hébert,Michelle,SM,2026-12-03T00:00:00
592806,Boucher,Florence,ZA,2026-12-03T00:00:00
795017,Rodrigue,Célina,ST,2026-12-03T00:00:00
918336,Brisson,Timothée,BZ,2026-12-03T00:00:00
241984,Boisvert,Marcel,LB,2026-12-03T00:00:00
730072,Laroche,Alex,CM,2026-12-03T00:00:00
323031,Pouliot,Michel,AF,2026-12-03T00:00:00
674873,Michaud,Camille,ER,2026-12-03T00:00:00
733920,Martineau,Constance,KM,2026-12-03T00:00:00
594920,Prévost,Julien,MZ,2026-12-03T00:00:00
735444,Dufresne,Aurore,IN,2026-12-03T00:00:00
177092,Bernier,Thomas,CN,2026-12-03T00:00:00
374937,Giroux,Odette,LI,2026-12-03T00:00:00
197109,Drolet,Gabrielle,KH,2026-12-03T00:00:00
454284,Béland,Charles,AO,2026-12-03T00:00:00
222480,Bergeron,Alex,SR,2026-12-03T00:00:00
472212,Robert,Patricia,MT,2026-12-03T00:00:00
892636,Bergeron,Jean,GA,2026-12-03T00:00:00
191060,Fillion,Olivia,LR,2026-12-03T00:00:00
469204,Delisle,Cécile,PH,2026-12-03T00:00:00
153222,Cloutier,Nicolas,NG,2026-12-03T00:00:00
683699,Séguin,Pénélope,CF,2026-12-03T00:00:00
263290,Chabot,Patrick,CI,2026-12-03T00:00:00
542349,Delisle,Édouard,AE,2026-12-03T00:00:00
496857,Godin,Valérie,JP,2026-12-03T00:00:00
832716,Durand,Xavier,AZ,2026-12-03T00:00:00
124411,Laliberté,Jérôme,IN,2026-12-03T00:00:00
378726,Boucher,Samuel,KW,2026-12-03T00:00:00
550287,Massé,Julien,CD,2026-12-03T00:00:00
832963,Lemieux,Dominique,KZ,2026-12-03T00:00:00
898195,Couture,Denis,LB,2026-12-03T00:00:00
833657,Cormier,Brigitte,BS,2026-12-03T00:00:00
686261,Boudreau,Nicole,EE,2026-12-03T00:00:00
322030,Boivin,Roland,ME,2026-12-03T00:00:00
557992,Delisle,Arthur,MC,2026-12-03T00:00:00
820621,Marchand,Laetitia,WS,2026-12-03T00:00:00
257567,Martin,Guy,VE,2026-12-03T00:00:00
350972,Bergeron,Émilie,BN,2026-12-03T00:00:00
871531,Lacasse,Sébastien,AM,2026-12-03T00:00:00
708855,Laliberté,Marc,GY,2026-12-03T00:00:00
870380,Dionne,Laurie,TJ,2026-12-03T00:00:00
361072,Lamoureux,Marcelle,BZ,2026-12-03T00:00:00
297958,Dupuis,Dorothée,BA,2026-12-03T00:00:00
795341,Desrochers,Emmanuelle,HT,2026-12-03T00:00:00
259793,Potvin,Dorothée,SL,2026-12-03T00:00:00
665003,Lacroix,Juliette,ST,2026-12-03T00:00:00
873316,Lepage,Maurice,BW,2026-12-03T00:00:00
561441,Gravel,Michelle,LK,2026-12-03T00:00:00
139740,Carrier,Charlotte,SA,2026-12-03T00:00:00
719723,Duguay,Monique,MR,2026-12-03T00:00:00
717184,Guay,Grégoire,ME,2026-12-03T00:00:00
314177,Marchand,Audrey,CA,2026-12-03T00:00:00
258173,Carrier,Françoise,NG,2026-12-03T00:00:00
269111,Brassard,Émile,BW,2026-12-03T00:00:00
933500,Bégin,Béatrice,HN,2026-12-03T00:00:00
669791,Durand,Maryse,TV,2026-12-03T00:00:00
679019,St-Jean,Mathieu,MR,2026-12-03T00:00:00
144372,Carrier,Marie,TJ,2026-12-03T00:00:00
215197,Turgeon,Stéphanie,ET,2026-12-03T00:00:00
836763,Turgeon,Maryse,LI,2026-12-03T00:00:00
632945,Paradis,Arthur,KG,2026-12-03T00:00:00
132801,Michaud,Jonathan,EC,2026-12-03T00:00:00
624366,St-Pierre,Odette,HR,2026-12-03T00:00:00
362795,Mercier,Marc,UG,2026-12-03T00:00:00
298020,Bolduc,Sylvie,ER,2026-12-03T00:00:00
323408,Rioux,Diane,IR,2026-12-03T00:00:00
131675,Leduc,Gabrielle,TZ,2026-12-03T00:00:00
219545,Duguay,Bernard,LA,2026-12-03T00:00:00
885153,Turcotte,Jonathan,HN,2026-12-03T00:00:00
565752,Denis,Anouk,GW,2026-12-03T00:00:00
464541,Perreault,Maurice,YE,2026-12-03T00:00:00
606231,Pelletier,Caroline,MY,2026-12-03T00:00:00
313162,Giroux,Jacqueline,AM,2026-12-03T00:00:00
121174,Gélinas,Élisabeth,MV,2026-12-03T00:00:00
343136,Dion,Nicole,MW,2026-12-03T00:00:00
203956,Provost,René,BZ,2026-12-03T00:00:00
818757,Sirois,Jessica,BG,2026-12-03T00:00:00
759460,Pelletier,Jérôme,DK,2026-12-03T00:00:00
369972,Tessier,Geneviève,EG,2026-12-03T00:00:00
413917,Potvin,Gilbert,PT,2026-12-03T00:00:00
300810,Ouellet,Daniel,FR,2026-12-03T00:00:00
646992,Lauzon,David,PY,2026-12-03T00:00:00
539546,Lefebvre,Michelle,NA,2026-12-03T00:00:00
514865,Brunet,Richard,PT,2026-12-03T00:00:00
178377,Vincent,Luc,DM,2026-12-03T00:00:00
117091,Blanchette,Josette,HR,2026-12-03T00:00:00
752221,Couture,Maurice,IL,2026-12-03T00:00:00
467827,Moreau,Étienne,BW,2026-12-03T00:00:00
515885,Côté,Valérie,CD,2026-12-03T00:00:00
305201,Forget,Philippe,TV,2026-12-03T00:00:00
652919,Lambert,Anaïs,LS,2026-12-03T00:00:00
434414,Maltais,Étienne,LK,2026-12-03T00:00:00
124899,Tanguay,Élisabeth,DJ,2026-12-03T00:00:00
446662,Trudel,Frédéric,BG,2026-12-03T00:00:00
662052,Deschênes,Dominique,JP,2026-12-03T00:00:00
982036,Turcotte,Alexandre,GR,2026-12-03T00:00:00
797129,Raymond,Noël,AF,2026-12-03T00:00:00
536272,Trottier,Hugues,BB,2026-12-03T00:00:00
661384,Parent,Mathilde,PE,2026-12-03T00:00:00
715397,Lafontaine,Audrey,TN,2026-12-03T00:00:00
432143,Savard,Timothée,MH,2026-12-03T00:00:00
230521,Morin,Monique,CU,2026-12-03T00:00:00
115484,Paradis,David,PG,2026-12-03T00:00:00
781158,Beaudry,Jules,MA,2026-12-03T00:00:00
691570,Chartrand,Florence,GN,2026-12-03T00:00:00
441208,Fortier,Alice,PE,2026-12-03T00:00:00
534699,Vincent,Hortense,KI,2026-12-03T00:00:00
244925,Dumas,Hélène,MH,2026-12-03T00:00:00
658424,Lacroix,Thomas,TD,2026-12-03T00:00:00
276211,Deschênes,Maryse,NP,2026-12-03T00:00:00
805442,Leblanc,Jonathan,MK,2026-12-03T00:00:00
693296,Boutin,Christiane,ST,2026-12-03T00:00:00
476107,Coulombe,Timothée,GE,2026-12-03T00:00:00
448878,Ferland,Claude,BE,2026-12-03T00:00:00
767869,Paré,Luc,GB,2026-12-03T00:00:00
586745,Charest,Guy,MX,2026-12-03T00:00:00
